HEALTH_PROTOCOL_TYPE_IDENT,ALARM_PROTOCOL_CODE,ALARM_PROTOCOL_IDENT,DESCRIPTION,LOCALIZED_DESCRIPTION,SEVERITY,ACTIVE,NAME,EXPRESSION,SEVERITY_LEVEL,CREATED_TIMESTAMP,CREATED_LOGIN_NAME,LAST_UPDATED_TIMESTAMP,LAST_UPDATED_LOGIN_NAME,ALIAS,MUTE,IGNORE_ALARM_RULE,CAN_MERGE_ALARM,MERGE_ALARM_TIME,HAS_MIN_DURATION,MIN_DURATION,IGNORE_ALARM_RULE_SEVERITIES,CAN_FILTER_VIRTUAL_ALARM,FILTER_VIRTUAL_ALARM_TIME
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21820-4,10334,Sensor Supply 4 Ckt Below Normal (Parent),NULL,W,Y,Sensor Supply 4 Ckt Below Normal (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23011-3,10335,Sensor Supply 1 Ckt Failed High (Child 1),NULL,W,Y,Sensor Supply 1 Ckt Failed High (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23011-4,10336,Sensor Supply 1 Ckt Failed Low (Child 1),NULL,W,Y,Sensor Supply 1 Ckt Failed Low (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23012-3,10337,Sensor Supply 2 Ckt Failed High (Child 1),NULL,W,Y,Sensor Supply 2 Ckt Failed High (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23012-4,10338,Sensor Supply 2 Ckt Failed Low (Child 1),NULL,W,Y,Sensor Supply 2 Ckt Failed Low (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23013-4,10339,Sensor Supply 3 Ckt Failed Low (Child 1),NULL,W,Y,Sensor Supply 3 Ckt Failed Low (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23017-16,10340,High Battery Voltage (Child 1),NULL,W,Y,High Battery Voltage (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23017-18,10341,Low Battery Voltage (Child 1),NULL,W,Y,Low Battery Voltage (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23020-3,10342,Sensor Supply 4 Ckt Failed High (Child 1),NULL,W,Y,Sensor Supply 4 Ckt Failed High (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,23020-4,10343,Sensor Supply 4 Ckt Failed Low (Child 1),NULL,W,Y,Sensor Supply 4 Ckt Failed Low (Child 1),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
